cohort,draw,alpha,stratum,n_lesions,n_patients,rate,cp_lo,cp_hi,boot_lo,boot_hi
hiba,10,0.15,B,152,74,0.07236842105263158,0.03667789198570159,0.12579664610374372,0.02665362731152205,0.1308940158615717
pad,10,0.05,M1,24,13,0.0,0.0,0.14247359772252563,0.0,0.0
pad,10,0.05,M2,166,114,0.0,0.0,0.02197707192849604,0.0,0.0
pad,10,0.05,M3,60,38,0.0,0.0,0.059629492286166916,0.0,0.0
pad,10,0.05,B,12,12,0.0,0.0,0.26464846939705117,0.0,0.0
pad,10,0.1,M1,24,13,0.0,0.0,0.14247359772252563,0.0,0.0
pad,10,0.1,M2,166,114,0.0,0.0,0.02197707192849604,0.0,0.0
pad,10,0.1,M3,60,38,0.0,0.0,0.059629492286166916,0.0,0.0
pad,10,0.1,B,12,12,0.0,0.0,0.26464846939705117,0.0,0.0
pad,10,0.15,M1,24,13,0.0,0.0,0.14247359772252563,0.0,0.0
pad,10,0.15,M2,166,114,0.0,0.0,0.02197707192849604,0.0,0.0
pad,10,0.15,M3,60,38,0.0,0.0,0.059629492286166916,0.0,0.0
pad,10,0.15,B,12,12,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,11,0.05,M1,19,9,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,11,0.05,M2,127,99,0.0,0.0,0.028628506134387617,0.0,0.0
hiba,11,0.05,M3,12,11,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,11,0.05,B,162,65,0.0,0.0,0.022513561452805492,0.0,0.0
hiba,11,0.1,M1,19,9,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,11,0.1,M2,127,99,0.0,0.0,0.028628506134387617,0.0,0.0
hiba,11,0.1,M3,12,11,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,11,0.1,B,162,65,0.07407407407407407,0.038859360821997965,0.1258171969324607,0.02815240182996569,0.12919011882426512
hiba,11,0.15,M1,19,9,0.0,0.0,0.17646691180696533,0.0,0.0
hiba,11,0.15,M2,127,99,0.015748031496062992,0.0019128821227939322,0.05572908669409177,0.0,0.04049468922108575
hiba,11,0.15,M3,12,11,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,11,0.15,B,162,65,0.1419753086419753,0.0921777453990397,0.2053796210419656,0.05306214802896219,0.26493983957219247
pad,11,0.05,M1,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
pad,11,0.05,M2,162,111,0.0,0.0,0.022513561452805492,0.0,0.0
pad,11,0.05,M3,75,44,0.0,0.0,0.047995064055142256,0.0,0.0
pad,11,0.05,B,16,16,0.0,0.0,0.2059072142078227,0.0,0.0
pad,11,0.1,M1,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
pad,11,0.1,M2,162,111,0.0,0.0,0.022513561452805492,0.0,0.0
pad,11,0.1,M3,75,44,0.0,0.0,0.047995064055142256,0.0,0.0
pad,11,0.1,B,16,16,0.0625,0.0015811117227658884,0.3023207384345319,0.0,0.1875
pad,11,0.15,M1,17,13,0.0,0.0,0.19506432296909318,0.0,0.0
pad,11,0.15,M2,162,111,0.0,0.0,0.022513561452805492,0.0,0.0
pad,11,0.15,M3,75,44,0.0,0.0,0.047995064055142256,0.0,0.0
pad,11,0.15,B,16,16,0.0625,0.0015811117227658884,0.3023207384345319,0.0,0.1875
hiba,12,0.05,M1,15,9,0.0,0.0,0.218019360910534,0.0,0.0
hiba,12,0.05,M2,103,85,0.0,0.0,0.03518061757434017,0.0,0.0
hiba,12,0.05,M3,14,11,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,12,0.05,B,218,83,0.0,0.0,0.016779101523217443,0.0,0.0
hiba,12,0.1,M1,15,9,0.0,0.0,0.218019360910534,0.0,0.0
hiba,12,0.1,M2,103,85,0.009708737864077669,0.0002457737536939754,0.05290828674020349,0.0,0.030631052796001236
hiba,12,0.1,M3,14,11,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,12,0.1,B,218,83,0.009174311926605505,0.0011129892260285696,0.032746002853576615,0.0,0.021739130434782608
hiba,12,0.15,M1,15,9,0.0,0.0,0.218019360910534,0.0,0.0
hiba,12,0.15,M2,103,85,0.019417475728155338,0.002360257937108636,0.06838593190038086,0.0,0.061224489795918366
hiba,12,0.15,M3,14,11,0.0,0.0,0.23163576165011648,0.0,0.0
hiba,12,0.15,B,218,83,0.16055045871559634,0.11444905311666397,0.2161474285753655,0.055965035860655744,0.22609651152031082
