cohort,head,draw,top1,bal_acc,macro_f1,auc_ovr
pad,primary,48,0.5642857142857143,0.47781201942901236,0.3237999878310559,0.8404279637692337
hiba,pad_only,48,0.47619047619047616,0.307546603912883,0.2973695544900862,0.7349866576895818
hiba,primary,48,0.5494505494505495,0.42161953034046057,0.418268891136512,0.863679774167823
pad,pad_only,49,0.6231884057971014,0.5692349959661139,0.39347270918837257,0.8781067189146455
pad,primary,49,0.5615942028985508,0.5346819004983924,0.36888980673354965,0.8608392234643198
hiba,pad_only,49,0.4822485207100592,0.3418123868699527,0.2904309717197916,0.713523520381613
hiba,primary,49,0.47928994082840237,0.415956215902762,0.3860566741116126,0.8117530672693615
pad,pad_only,50,0.6679389312977099,0.6381554416037175,0.445950003311985,0.8973150241039826
pad,primary,50,0.6030534351145038,0.6188899154416396,0.4186507619782422,0.8659282403475013
hiba,pad_only,50,0.5651105651105651,0.39143666457533577,0.33401153919874205,0.7672739215226223
hiba,primary,50,0.6363636363636364,0.5358088493648026,0.4755391147127198,0.8812623583861525
pad,pad_only,51,0.6174496644295302,0.5506954041405462,0.3826990176423263,0.8667607983438899
pad,primary,51,0.5335570469798657,0.4889850254027385,0.3476252985450473,0.8253925976843783
hiba,pad_only,51,0.5431309904153354,0.3758510279743849,0.34105630651458285,0.7450135084606722
hiba,primary,51,0.5878594249201278,0.45649543350843014,0.43702205190897575,0.8434051300324179
pad,pad_only,52,0.6125827814569537,0.5388776763776765,0.39357456449806794,0.8690883699112409
pad,primary,52,0.5529801324503312,0.5109838125463125,0.3666135280475062,0.834749674416575
hiba,pad_only,52,0.44802867383512546,0.2847712320574163,0.26583754507439794,0.7194631093644877
hiba,primary,52,0.4874551971326165,0.38025559386434005,0.4090428992884617,0.820141347870465
pad,pad_only,53,0.6329588014981273,0.5483589423629397,0.37962931682188933,0.8710124931907653
pad,primary,53,0.5730337078651685,0.5376628984557033,0.3855814095334731,0.842292810934428
hiba,pad_only,53,0.4454828660436137,0.275648835838491,0.27028969214804566,0.7091418937602417
hiba,primary,53,0.49221183800623053,0.3987033966990864,0.39846289273632246,0.8357733705530961
pad,pad_only,54,0.6431095406360424,0.6215504037872459,0.4363394207177907,0.8826956590413696
pad,primary,54,0.5795053003533569,0.5750568551007147,0.4001003549463714,0.8556332883046062
hiba,pad_only,54,0.5520581113801453,0.3242739975732854,0.3038178195353876,0.7580601052133639
hiba,primary,54,0.648910411622276,0.4798215736887026,0.473449311660915,0.8521124724356574
pad,pad_only,55,0.6428571428571429,0.5499920725520041,0.3733133894529804,0.888334732143283
pad,primary,55,0.6111111111111112,0.49694159056316595,0.3555804063924589,0.8439226894157948
hiba,pad_only,55,0.48548812664907653,0.32150559618834573,0.28483168698332634,0.7197069284375868
hiba,primary,55,0.6068601583113457,0.4165123901764682,0.4261340223449347,0.8011164275698521
pad,pad_only,56,0.662020905923345,0.5598490631658127,0.3957225621117029,0.8823142052103096
pad,primary,56,0.5714285714285714,0.4937310401655344,0.34105129156629205,0.8233887836581872
hiba,pad_only,56,0.5109717868338558,0.35791965726302044,0.3182798126181515,0.7196857460143173
hiba,primary,56,0.5642633228840125,0.4280123929520923,0.436337919466457,0.8329357011812417
pad,pad_only,57,0.6641509433962264,0.5809579233421921,0.4218420803133286,0.8939004620740859
pad,primary,57,0.6226415094339622,0.5494737307535049,0.4230268511899142,0.838201353233781
hiba,pad_only,57,0.5349397590361445,0.3081235890052392,0.29226994952387597,0.7272355305610714
hiba,primary,57,0.6457831325301204,0.43995804998512866,0.44820443958719425,0.8243923954433784
pad,pad_only,58,0.6418439716312057,0.5874025265749097,0.4164523269039163,0.8642346860145316
pad,primary,58,0.549645390070922,0.5268502271322252,0.3595426455562414,0.8258827855114843
hiba,pad_only,58,0.5,0.3125522111841452,0.2907496952944748,0.7263709408235224
hiba,primary,58,0.5883977900552486,0.441999503618694,0.4360494051913476,0.8291674753496079
pad,pad_only,59,0.6576923076923077,0.5603546542452472,0.40784085266768977,0.8731591018094562
pad,primary,59,0.5692307692307692,0.506681905298203,0.3605487291454693,0.8298944134109111
hiba,pad_only,59,0.49544072948328266,0.3422323838209508,0.3065083718901047,0.7383281135876714
hiba,primary,59,0.6170212765957447,0.44900701557831846,0.4321787026290702,0.8768884948453346
pad,pad_only,60,0.6284584980237155,0.5699303581656523,0.4028263403263403,0.8749513974645654
pad,primary,60,0.5691699604743083,0.5576136296724532,0.3753637727616407,0.8344422875712487
hiba,pad_only,60,0.49324324324324326,0.38652543256201793,0.3271010455646224,0.757875316867507
hiba,primary,60,0.6182432432432432,0.46198293576342353,0.44849757930645634,0.8528715168781846
pad,pad_only,61,0.6571428571428571,0.5525263052103543,0.39327938029441384,0.8811339552699288
pad,primary,61,0.5892857142857143,0.555327242060371,0.39213788614436323,0.8496697031520714
hiba,pad_only,61,0.436241610738255,0.316099611841539,0.28719350195343085,0.7198687957858052
hiba,primary,61,0.4899328859060403,0.4199356559648585,0.4164766219750031,0.8194648890662712
pad,pad_only,62,0.6366666666666667,0.5301192251247745,0.36556423223865575,0.8735384878136583
pad,primary,62,0.5833333333333334,0.5068437399735957,0.3440285470155202,0.8442237539453036
hiba,pad_only,62,0.44753086419753085,0.29076694139194137,0.2751517167453755,0.722817476076298
hiba,primary,62,0.4660493827160494,0.37029609279609277,0.37272498594583836,0.7635751705164715
pad,pad_only,63,0.6145833333333334,0.5554666271429277,0.3854048179877426,0.8659243659009238
pad,primary,63,0.5694444444444444,0.5372033661051002,0.36287556306630947,0.8246950868626709
hiba,pad_only,63,0.56353591160221,0.3747565923917633,0.31462986289073247,0.751044213851741
hiba,primary,63,0.580110497237569,0.41617511704098414,0.39189590087567117,0.8177339888918113
pad,pad_only,64,0.6084142394822006,0.5780585853211552,0.41576214114482235,0.8625237071601383
pad,primary,64,0.5436893203883495,0.4734200626032643,0.32714036920933476,0.8279379138411181
hiba,pad_only,64,0.3927272727272727,0.2932371250707414,0.25743723304072913,0.7140706693308864
hiba,primary,64,0.4727272727272727,0.42772074770164753,0.41342133888932614,0.8144508482540844
pad,pad_only,65,0.6498194945848376,0.5254743120127735,0.36191821523155576,0.882707508823687
pad,primary,65,0.6137184115523465,0.5001303183995491,0.3577877714390872,0.852680082250877
hiba,pad_only,65,0.5289017341040463,0.3410687590162409,0.3092151920842551,0.716945047656386
hiba,primary,65,0.569364161849711,0.42705182496471067,0.40095686651517626,0.8067513719220294
pad,pad_only,66,0.625,0.5821907408568224,0.42181358955872295,0.8535787487495713
pad,primary,66,0.5477941176470589,0.4852592121632427,0.34429309784801665,0.8062002836480229
hiba,pad_only,66,0.5029239766081871,0.36974654105449223,0.3379848660111818,0.7474034471940068
hiba,primary,66,0.6169590643274854,0.42497834075661084,0.4296220249773202,0.7988075262044798
pad,pad_only,67,0.6541095890410958,0.5602034300310161,0.40247373018739774,0.8825303665038562
pad,primary,67,0.5616438356164384,0.4939199051268017,0.3442894697205042,0.8521751829721249
hiba,pad_only,67,0.45149253731343286,0.35196114369501463,0.31677755672251295,0.7400934258725022
hiba,primary,67,0.5074626865671642,0.4152351680577487,0.4193497353298945,0.8161516414696162
pad,pad_only,68,0.6215277777777778,0.4960088147121373,0.3668423645518847,0.8644437965971257
pad,primary,68,0.5833333333333334,0.4897876908285612,0.34534458676335106,0.839720726160088
hiba,pad_only,68,0.4815950920245399,0.30301470588235296,0.2815905775100335,0.7261103076142481
hiba,primary,68,0.5552147239263804,0.46579481792717087,0.4652318998954185,0.8300493830171918
pad,pad_only,69,0.6346863468634686,0.6411263934556474,0.4522552378336734,0.8909992478445958
pad,primary,69,0.5830258302583026,0.5803372944115147,0.4146666892563477,0.8407234678913414
hiba,pad_only,69,0.5145118733509235,0.3495875368419845,0.30962961308427395,0.7239777398496099
hiba,primary,69,0.5963060686015831,0.42452994833461843,0.3888899668682714,0.8563044374181291
pad,pad_only,70,0.660958904109589,0.6143865825454728,0.45488395564824824,0.8807539228946194
pad,primary,70,0.5821917808219178,0.5296862104081523,0.37998167113185266,0.8300449312955712
hiba,pad_only,70,0.5253807106598984,0.30868566783133783,0.2910460624712507,0.7165448351605976
hiba,primary,70,0.5913705583756346,0.39222029068658176,0.37040704616468556,0.7861745787569476
pad,pad_only,71,0.6567164179104478,0.5702748509352281,0.41640534736216045,0.8855624190548417
pad,primary,71,0.5708955223880597,0.49279679090999845,0.3518929250273879,0.8588026869376687
hiba,pad_only,71,0.5318066157760815,0.31122630605640317,0.2739804715832113,0.7222027047044157
hiba,primary,71,0.6361323155216285,0.44944872683950354,0.44122074131644984,0.8539110434375567
pad,pad_only,72,0.6443661971830986,0.557780426695234,0.3879988348358794,0.8758562267252176
pad,primary,72,0.5880281690140845,0.510737079575822,0.37044366505345794,0.836569745131771
