variant,draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
derm_only_for_mixed,4,0.1,all,364,156,0.9258241758241759,3.892857142857143,0.0,0.09615384615384616,0.945054945054945
averaged,4,0.15,derm,259,90,0.9034749034749034,3.2625482625482625,0.0,0.17159763313609466,0.888030888030888
averaged,4,0.15,clin,13,9,0.6923076923076923,2.3076923076923075,0.0,0.0,1.0
averaged,4,0.15,both,92,57,0.8804347826086957,3.5543478260869565,0.03508771929824561,0.0,0.9782608695652174
averaged,4,0.15,all,364,156,0.8901098901098901,3.302197802197802,0.01282051282051282,0.13942307692307693,0.9148351648351648
derm_only_for_mixed,4,0.15,derm,259,90,0.8803088803088803,2.864864864864865,0.0,0.21893491124260356,0.8571428571428571
derm_only_for_mixed,4,0.15,clin,13,9,0.6923076923076923,2.1538461538461537,0.0,0.0,1.0
derm_only_for_mixed,4,0.15,both,92,57,0.7717391304347826,3.2065217391304346,0.0,0.05714285714285714,0.9782608695652174
derm_only_for_mixed,4,0.15,all,364,156,0.8461538461538461,2.9258241758241756,0.0,0.1875,0.8928571428571429
averaged,5,0.05,derm,195,83,1.0,6.748717948717949,0.0,0.0,1.0
averaged,5,0.05,clin,16,10,1.0,5.8125,0.0,0.0,1.0
averaged,5,0.05,both,100,69,0.98,6.74,0.0,0.0,1.0
averaged,5,0.05,all,311,162,0.9935691318327974,6.697749196141479,0.0,0.0,1.0
derm_only_for_mixed,5,0.05,derm,195,83,0.9897435897435898,5.728205128205128,0.0,0.0,1.0
derm_only_for_mixed,5,0.05,clin,16,10,0.9375,4.3125,0.0,0.0,1.0
derm_only_for_mixed,5,0.05,both,100,69,0.98,6.17,0.0,0.0,1.0
derm_only_for_mixed,5,0.05,all,311,162,0.9839228295819936,5.797427652733119,0.0,0.0,1.0
averaged,5,0.1,derm,195,83,0.9897435897435898,4.733333333333333,0.0,0.017857142857142856,0.9897435897435898
averaged,5,0.1,clin,16,10,0.9375,3.9375,0.0,0.0,1.0
averaged,5,0.1,both,100,69,0.93,4.69,0.0,0.0,1.0
averaged,5,0.1,all,311,162,0.9678456591639871,4.678456591639871,0.0,0.013422818791946308,0.9935691318327974
derm_only_for_mixed,5,0.1,derm,195,83,0.9743589743589743,4.066666666666666,0.0,0.10714285714285714,0.9384615384615385
derm_only_for_mixed,5,0.1,clin,16,10,0.8125,3.25,0.1,0.0,0.9375
derm_only_for_mixed,5,0.1,both,100,69,0.94,4.92,0.0,0.0,1.0
derm_only_for_mixed,5,0.1,all,311,162,0.954983922829582,4.29903536977492,0.006172839506172839,0.08053691275167785,0.9581993569131833
averaged,5,0.15,derm,195,83,0.9743589743589743,3.7487179487179487,0.0,0.15178571428571427,0.9128205128205128
averaged,5,0.15,clin,16,10,0.75,3.0,0.1,0.0,0.9375
averaged,5,0.15,both,100,69,0.91,3.98,0.0,0.03225806451612903,0.99
averaged,5,0.15,all,311,162,0.9421221864951769,3.784565916398714,0.006172839506172839,0.12080536912751678,0.9389067524115756
