cohort,draw,alpha,group,n_benign,benign_coverage,benign_referral,benign_set_size
pad,13,0.1,4,2,1.0,1.0,5.0
pad,13,0.15,1,3,0.3333333333333333,1.0,2.6666666666666665
pad,13,0.15,2,9,0.8888888888888888,0.8888888888888888,2.888888888888889
pad,13,0.15,3,13,0.9230769230769231,0.8461538461538461,2.5384615384615383
pad,13,0.15,4,2,1.0,1.0,4.0
hiba,14,0.05,1,17,0.9411764705882353,1.0,5.352941176470588
hiba,14,0.05,2,91,0.9230769230769231,1.0,5.230769230769231
hiba,14,0.05,3,88,0.9886363636363636,1.0,3.9431818181818183
hiba,14,0.1,1,17,0.8823529411764706,1.0,3.235294117647059
hiba,14,0.1,2,91,0.8901098901098901,0.9560439560439561,3.8351648351648353
hiba,14,0.1,3,88,0.9886363636363636,0.875,2.9204545454545454
hiba,14,0.15,1,17,0.8235294117647058,0.9411764705882353,2.823529411764706
hiba,14,0.15,2,91,0.8351648351648352,0.8901098901098901,3.076923076923077
hiba,14,0.15,3,88,0.9886363636363636,0.5454545454545454,2.0795454545454546
pad,14,0.05,1,3,1.0,1.0,3.3333333333333335
pad,14,0.05,2,9,1.0,1.0,3.888888888888889
pad,14,0.05,3,8,1.0,1.0,3.625
pad,14,0.05,4,2,1.0,1.0,6.0
pad,14,0.05,6,1,1.0,1.0,6.0
pad,14,0.1,1,3,0.6666666666666666,1.0,3.0
pad,14,0.1,2,9,1.0,0.7777777777777778,3.2222222222222223
pad,14,0.1,3,8,1.0,1.0,3.125
pad,14,0.1,4,2,1.0,1.0,5.5
pad,14,0.1,6,1,1.0,1.0,6.0
pad,14,0.15,1,3,0.6666666666666666,1.0,2.3333333333333335
pad,14,0.15,2,9,1.0,0.7777777777777778,2.888888888888889
pad,14,0.15,3,8,1.0,1.0,3.0
pad,14,0.15,4,2,1.0,1.0,5.5
pad,14,0.15,6,1,1.0,1.0,6.0
hiba,15,0.05,1,8,1.0,1.0,5.875
hiba,15,0.05,2,84,0.9761904761904762,1.0,6.023809523809524
hiba,15,0.05,3,31,0.967741935483871,1.0,5.419354838709677
hiba,15,0.05,4,1,1.0,1.0,7.0
hiba,15,0.1,1,8,1.0,1.0,4.125
hiba,15,0.1,2,84,0.9285714285714286,1.0,3.9642857142857144
hiba,15,0.1,3,31,0.967741935483871,0.9354838709677419,3.064516129032258
hiba,15,0.1,4,1,1.0,1.0,7.0
hiba,15,0.15,1,8,1.0,1.0,3.875
hiba,15,0.15,2,84,0.8452380952380952,0.9523809523809523,2.9404761904761907
hiba,15,0.15,3,31,0.967741935483871,0.7419354838709677,2.5161290322580645
hiba,15,0.15,4,1,0.0,1.0,6.0
pad,15,0.05,1,2,1.0,1.0,4.5
pad,15,0.05,2,9,1.0,1.0,3.6666666666666665
pad,15,0.05,3,5,1.0,1.0,3.2
pad,15,0.05,4,4,1.0,1.0,6.0
pad,15,0.1,1,2,0.0,1.0,3.0
pad,15,0.1,2,9,0.7777777777777778,0.8888888888888888,2.3333333333333335
pad,15,0.1,3,5,0.8,1.0,2.6
