cohort,draw,cls,n,f1,auc
hiba,13,MEL,39,0.5205479452054794,0.844551282051282
hiba,13,NV,64,0.7,0.8916495901639344
hiba,13,BCC,68,0.6101694915254238,0.8398784094643443
hiba,13,AK,11,0.17647058823529413,0.811633281972265
hiba,13,BKL,17,0.3333333333333333,0.740920716112532
hiba,13,DF,11,0.35294117647058826,0.75462249614792
hiba,13,VASC,10,0.46153846153846156,0.7919831223628692
hiba,13,SCC,27,0.2711864406779661,0.7526936026936026
pad,13,MEL,8,0.6153846153846154,0.8852313167259787
pad,13,NV,19,0.7272727272727273,0.9762183235867447
pad,13,BCC,157,0.7147766323024055,0.778131634819533
pad,13,AK,62,0.5616438356164384,0.798635782293591
pad,13,BKL,8,0.4,0.8736654804270463
pad,13,DF,0,,
pad,13,VASC,0,,
pad,13,SCC,35,0.26666666666666666,0.6847019122609674
hiba,14,MEL,55,0.54,0.8553359683794466
hiba,14,NV,153,0.8066666666666666,0.912723961889897
hiba,14,BCC,69,0.6166666666666667,0.8939740655987795
hiba,14,AK,10,0.13333333333333333,0.8604651162790697
hiba,14,BKL,16,0.2903225806451613,0.7468565088757396
hiba,14,DF,14,0.19047619047619047,0.6254201680672269
hiba,14,VASC,13,0.631578947368421,0.9264606361380555
hiba,14,SCC,24,0.2857142857142857,0.789520202020202
pad,14,MEL,15,0.45454545454545453,0.9611479028697572
pad,14,NV,12,0.5384615384615384,0.9838797814207649
pad,14,BCC,194,0.6906906906906907,0.7989271645293773
pad,14,AK,48,0.48120300751879697,0.7890334572490708
pad,14,BKL,11,0.34285714285714286,0.8844325609031491
pad,14,DF,0,,
pad,14,VASC,0,,
pad,14,SCC,37,0.18823529411764706,0.6562741312741311
hiba,15,MEL,63,0.5818181818181818,0.8494897959183673
hiba,15,NV,93,0.6892655367231638,0.8594945128034586
hiba,15,BCC,65,0.6101694915254238,0.8753984753984754
hiba,15,AK,14,0.2857142857142857,0.8437990580847723
hiba,15,BKL,12,0.25,0.7187878787878788
hiba,15,DF,10,0.0,0.7072202166064981
hiba,15,VASC,9,0.5,0.80775379696243
hiba,15,SCC,21,0.21052631578947367,0.8043322592194773
pad,15,MEL,9,0.5,0.9577114427860697
pad,15,NV,13,0.6086956521739131,0.9813519813519813
pad,15,BCC,151,0.6742424242424242,0.7666088510459371
pad,15,AK,56,0.593103448275862,0.8570620555914674
pad,15,BKL,7,0.4,0.8666666666666667
pad,15,DF,0,,
pad,15,VASC,0,,
pad,15,SCC,41,0.2716049382716049,0.6448429102935097
hiba,16,MEL,41,0.5,0.8353293413173652
hiba,16,NV,183,0.7425149700598802,0.8807775500910746
hiba,16,BCC,70,0.5691056910569106,0.9043091334894613
hiba,16,AK,14,0.2222222222222222,0.7641472101305896
hiba,16,BKL,13,0.16470588235294117,0.7169570760730981
hiba,16,DF,10,0.26666666666666666,0.6767123287671233
hiba,16,VASC,10,0.46153846153846156,0.7553424657534247
hiba,16,SCC,34,0.32727272727272727,0.813351733655339
pad,16,MEL,12,0.4444444444444444,0.9113965744400527
pad,16,NV,18,0.5806451612903226,0.9336482231219073
pad,16,BCC,156,0.7103448275862069,0.7629381322041872
pad,16,AK,46,0.5585585585585585,0.8143736351002582
pad,16,BKL,8,0.4,0.9309338521400778
pad,16,DF,0,,
pad,16,VASC,0,,
pad,16,SCC,25,0.16,0.6315000000000001
hiba,17,MEL,48,0.4883720930232558,0.8389767932489451
hiba,17,NV,274,0.8123711340206186,0.9229041592882132
hiba,17,BCC,57,0.5233644859813084,0.9102808835560403
hiba,17,AK,13,0.21621621621621623,0.8724508050089446
hiba,17,BKL,16,0.18518518518518517,0.8144028103044496
