cohort,draw,cls,n,f1,auc
pad,30,BKL,7,0.5384615384615384,0.9941690962099126
pad,30,DF,0,,
pad,30,VASC,0,,
pad,30,SCC,31,0.17647058823529413,0.6224014336917563
hiba,31,MEL,45,0.5476190476190477,0.8524603174603175
hiba,31,NV,135,0.7461538461538462,0.8632358674463938
hiba,31,BCC,69,0.6666666666666666,0.9003057065217392
hiba,31,AK,15,0.16666666666666666,0.7440860215053765
hiba,31,BKL,16,0.2571428571428571,0.7894417475728156
hiba,31,DF,12,0.47058823529411764,0.7563897763578274
hiba,31,VASC,12,0.4,0.7305644302449414
hiba,31,SCC,21,0.23809523809523808,0.762687969924812
pad,31,MEL,8,0.7142857142857143,0.9779151943462898
pad,31,NV,15,0.8125,0.9881642512077294
pad,31,BCC,157,0.6906474820143885,0.7912586747789714
pad,31,AK,62,0.5986394557823129,0.8297647555993802
pad,31,BKL,9,0.46153846153846156,0.933806146572104
pad,31,DF,0,,
pad,31,VASC,0,,
pad,31,SCC,40,0.18823529411764706,0.6016434262948207
hiba,32,MEL,46,0.5909090909090909,0.8902650268491252
hiba,32,NV,91,0.7419354838709677,0.9069668195881788
hiba,32,BCC,80,0.5757575757575758,0.8709677419354839
hiba,32,AK,15,0.11428571428571428,0.6848699763593381
hiba,32,BKL,19,0.29333333333333333,0.7646724725482771
hiba,32,DF,12,0.26666666666666666,0.6596491228070175
hiba,32,VASC,11,0.5333333333333333,0.6834075015893197
hiba,32,SCC,23,0.3333333333333333,0.805775944144716
pad,32,MEL,9,0.5333333333333333,0.8824476650563606
pad,32,NV,11,0.5714285714285714,0.9349701393497014
pad,32,BCC,164,0.6511627906976745,0.7153295706510784
pad,32,AK,57,0.4755244755244755,0.7747768544167437
pad,32,BKL,7,0.5,0.8669064748201439
pad,32,DF,0,,
