cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
hiba,6,0.1,M3,22,False,1.0,1.0,0.0,1.0,1.0,5.1,10
hiba,6,0.15,B,186,False,0.8561151079136691,0.8485416666666667,,0.8992805755395683,0.9229166666666668,2.985611510791367,139
hiba,6,0.15,M1,27,False,0.8333333333333334,0.8888888888888888,0.0,1.0,1.0,3.5,12
hiba,6,0.15,M2,206,False,0.875,0.8695652173913043,0.026785714285714284,0.9732142857142857,0.9728260869565217,3.75,112
hiba,6,0.15,M3,22,False,0.8,0.7777777777777778,0.0,1.0,1.0,3.9,10
pad,6,0.05,B,75,False,0.9578947368421052,0.9595238095238096,,0.9368421052631579,0.9428571428571428,3.7578947368421054,95
pad,6,0.05,M1,24,False,0.9583333333333334,0.9333333333333333,0.0,1.0,1.0,4.458333333333333,24
pad,6,0.05,M2,141,False,0.9206349206349206,0.91,0.007936507936507936,0.9920634920634921,0.99,4.214285714285714,126
pad,6,0.05,M3,56,False,0.9824561403508771,0.9777777777777777,0.0,1.0,1.0,4.052631578947368,57
pad,6,0.05,M4,10,True,1.0,1.0,0.0,1.0,1.0,6.0,4
pad,6,0.05,M5,2,True,1.0,1.0,0.0,1.0,1.0,6.0,1
pad,6,0.1,B,75,False,0.9157894736842105,0.9214285714285714,,0.8947368421052632,0.9,3.094736842105263,95
pad,6,0.1,M1,24,False,0.9583333333333334,0.9333333333333333,0.0,1.0,1.0,3.7916666666666665,24
pad,6,0.1,M2,141,False,0.9206349206349206,0.91,0.007936507936507936,0.9920634920634921,0.99,3.6984126984126986,126
pad,6,0.1,M3,56,False,0.9122807017543859,0.9037037037037038,0.017543859649122806,0.9824561403508771,0.9777777777777777,3.3684210526315788,57
pad,6,0.1,M4,10,False,0.75,0.75,0.0,1.0,1.0,4.5,4
pad,6,0.1,M5,2,True,1.0,1.0,0.0,1.0,1.0,6.0,1
pad,6,0.15,B,75,False,0.8210526315789474,0.8261904761904761,,0.9052631578947369,0.9142857142857143,2.463157894736842,95
pad,6,0.15,M1,24,False,0.9166666666666666,0.9,0.041666666666666664,0.9583333333333334,0.9666666666666667,3.0,24
pad,6,0.15,M2,141,False,0.8571428571428571,0.8566666666666667,0.015873015873015872,0.9841269841269841,0.985,3.0555555555555554,126
pad,6,0.15,M3,56,False,0.8947368421052632,0.9,0.017543859649122806,0.9824561403508771,0.9777777777777777,2.8421052631578947,57
pad,6,0.15,M4,10,False,0.75,0.75,0.0,1.0,1.0,3.75,4
pad,6,0.15,M5,2,True,1.0,1.0,0.0,1.0,1.0,6.0,1
hiba,7,0.05,B,175,False,0.9612403100775194,0.9194139194139193,,1.0,1.0,5.511627906976744,258
hiba,7,0.05,M1,23,False,0.8125,0.8333333333333333,0.0,1.0,1.0,5.125,16
hiba,7,0.05,M2,218,False,0.9811320754716981,0.9895833333333333,0.0,1.0,1.0,6.0754716981132075,106
hiba,7,0.05,M3,27,False,1.0,1.0,0.0,1.0,1.0,6.75,4
hiba,7,0.1,B,175,False,0.9496124031007752,0.895238095238095,,0.9534883720930233,0.9665539588616511,3.895348837209302,258
hiba,7,0.1,M1,23,False,0.8125,0.8333333333333333,0.0,1.0,1.0,4.25,16
hiba,7,0.1,M2,218,False,0.9150943396226415,0.9177083333333332,0.009433962264150943,0.9905660377358491,0.99375,4.7075471698113205,106
hiba,7,0.1,M3,27,False,1.0,1.0,0.0,1.0,1.0,5.25,4
hiba,7,0.15,B,175,False,0.8837209302325582,0.7883645765998707,,0.7906976744186046,0.8786371747910208,2.705426356589147,258
hiba,7,0.15,M1,23,False,0.8125,0.8333333333333333,0.0625,0.9375,0.9666666666666666,3.375,16
hiba,7,0.15,M2,218,False,0.8679245283018868,0.8864583333333332,0.02830188679245283,0.9716981132075472,0.9770833333333332,3.3867924528301887,106
