cohort,draw,alpha,scheme,miss_cert,miss_all,worst_group_miss,any_group_over,release,release_pw,set_size,coverage,any_enforced_degenerate,n_test,n_mal,n_ben
hiba,0,0.08,softmax,0.07142857142857142,0.07142857142857142,0.08196721311475409,True,0.498220640569395,0.3590052336724163,,,False,435,154,281
hiba,0,0.08,temp,0.07142857142857142,0.07142857142857142,0.08196721311475409,True,0.7117437722419929,0.5590076624441951,,,False,435,154,281
hiba,0,0.1,mondrian,0.012987012987012988,0.012987012987012988,0.01639344262295082,False,0.05338078291814947,0.03886375062845651,3.933333333333333,0.9540229885057471,False,435,154,281
hiba,0,0.1,marginal,0.012987012987012988,0.012987012987012988,0.01639344262295082,False,0.03914590747330961,0.049287150757738984,3.8666666666666667,0.9494252873563218,False,435,154,281
hiba,0,0.1,softmax,0.09090909090909091,0.09090909090909091,0.09836065573770492,False,0.6334519572953736,0.49100453811754113,,,False,435,154,281
hiba,0,0.1,temp,0.1038961038961039,0.1038961038961039,0.14285714285714285,True,0.7935943060498221,0.6618928165058195,,,False,435,154,281
hiba,0,0.12,mondrian,0.012987012987012988,0.012987012987012988,0.01639344262295082,False,0.12455516014234876,0.07663067926225822,3.47816091954023,0.9379310344827586,False,435,154,281
hiba,0,0.12,marginal,0.012987012987012988,0.012987012987012988,0.01639344262295082,False,0.099644128113879,0.06331259899371354,3.4114942528735632,0.9379310344827586,False,435,154,281
hiba,0,0.12,softmax,0.11688311688311688,0.11688311688311688,0.14285714285714285,True,0.7224199288256228,0.6380771876901908,,,False,435,154,281
hiba,0,0.12,temp,0.12337662337662338,0.12337662337662338,0.14285714285714285,True,0.8185053380782918,0.6683407803067246,,,False,435,154,281
hiba,0,0.15,mondrian,0.012987012987012988,0.012987012987012988,0.01639344262295082,False,0.20284697508896798,0.11109632111954093,3.0873563218390805,0.9218390804597701,False,435,154,281
hiba,0,0.15,marginal,0.01948051948051948,0.01948051948051948,0.02459016393442623,False,0.2313167259786477,0.12544469204685924,2.696551724137931,0.9057471264367816,False,435,154,281
hiba,0,0.15,softmax,0.15584415584415584,0.15584415584415584,0.16393442622950818,True,0.7935943060498221,0.708701155225923,,,False,435,154,281
hiba,0,0.15,temp,0.13636363636363635,0.13636363636363635,0.14754098360655737,False,0.8469750889679716,0.7245592677016827,,,False,435,154,281
hiba,0,0.2,mondrian,0.012987012987012988,0.012987012987012988,0.01639344262295082,False,0.3096085409252669,0.17931663623614089,2.452873563218391,0.8551724137931035,False,435,154,281
hiba,0,0.2,marginal,0.012987012987012988,0.012987012987012988,0.01639344262295082,False,0.33807829181494664,0.1925858575548978,2.268965517241379,0.8551724137931035,False,435,154,281
hiba,0,0.2,softmax,0.18181818181818182,0.18181818181818182,0.19672131147540983,False,0.8932384341637011,0.7923010486245781,,,False,435,154,281
hiba,0,0.2,temp,0.18831168831168832,0.18831168831168832,0.2857142857142857,True,0.9039145907473309,0.7955557351145588,,,False,435,154,281
hiba,0,0.25,mondrian,0.01948051948051948,0.01948051948051948,0.02459016393442623,False,0.34519572953736655,0.23120596551711103,2.197701149425287,0.8091954022988506,False,435,154,281
hiba,0,0.25,marginal,0.025974025974025976,0.025974025974025976,0.03278688524590164,False,0.3594306049822064,0.23503818936481474,2.075862068965517,0.8229885057471265,False,435,154,281
hiba,0,0.25,softmax,0.23376623376623376,0.23376623376623376,0.2857142857142857,True,0.9252669039145908,0.8407518135459311,,,False,435,154,281
hiba,0,0.25,temp,0.23376623376623376,0.23376623376623376,0.2857142857142857,True,0.9252669039145908,0.8407518135459311,,,False,435,154,281
hiba,0,0.3,mondrian,0.025974025974025976,0.025974025974025976,0.03278688524590164,False,0.38434163701067614,0.25175021830594585,2.0367816091954025,0.767816091954023,False,435,154,281
hiba,0,0.3,marginal,0.025974025974025976,0.025974025974025976,0.03278688524590164,False,0.41637010676156583,0.2586415038350023,1.9011494252873564,0.7793103448275862,False,435,154,281
hiba,0,0.3,softmax,0.23376623376623376,0.23376623376623376,0.2857142857142857,False,0.9252669039145908,0.8407518135459311,,,False,435,154,281
hiba,0,0.3,temp,0.23376623376623376,0.23376623376623376,0.2857142857142857,False,0.9252669039145908,0.8407518135459311,,,False,435,154,281
pad,0,0.02,mondrian,0.0,0.0,0.0,False,0.0,0.0,7.726591760299626,0.9850187265917603,True,267,248,19
pad,0,0.02,marginal,0.0,0.0,0.0,False,0.0,0.0,4.898876404494382,0.9850187265917603,False,267,248,19
pad,0,0.02,softmax,0.0211864406779661,0.020161290322580645,0.029411764705882353,True,0.3684210526315789,0.26666666666666666,,,False,267,248,19
pad,0,0.02,temp,0.01694915254237288,0.016129032258064516,0.022058823529411766,True,0.47368421052631576,0.4,,,False,267,248,19
pad,0,0.03,mondrian,0.0,0.0,0.0,False,0.0,0.0,7.333333333333333,0.9850187265917603,True,267,248,19
pad,0,0.03,marginal,0.0,0.0,0.0,False,0.0,0.0,4.640449438202247,0.9850187265917603,False,267,248,19
pad,0,0.03,softmax,0.025423728813559324,0.024193548387096774,0.03676470588235294,True,0.42105263157894735,0.3333333333333333,,,False,267,248,19
pad,0,0.03,temp,0.01694915254237288,0.020161290322580645,0.022058823529411766,False,0.5263157894736842,0.4666666666666667,,,False,267,248,19
pad,0,0.04,mondrian,0.0,0.0,0.0,False,0.0,0.0,4.4232209737827715,0.9850187265917603,False,267,248,19
pad,0,0.04,marginal,0.0,0.0,0.0,False,0.0,0.0,4.310861423220974,0.9812734082397003,False,267,248,19
pad,0,0.04,softmax,0.03389830508474576,0.036290322580645164,0.03676470588235294,False,0.5789473684210527,0.5333333333333333,,,False,267,248,19
pad,0,0.04,temp,0.025423728813559324,0.028225806451612902,0.03676470588235294,False,0.631578947368421,0.6,,,False,267,248,19
pad,0,0.05,mondrian,0.0,0.0,0.0,False,0.0,0.0,4.254681647940075,0.9775280898876404,False,267,248,19
pad,0,0.05,marginal,0.0,0.0,0.0,False,0.0,0.0,4.179775280898877,0.9812734082397003,False,267,248,19
pad,0,0.05,softmax,0.03389830508474576,0.036290322580645164,0.03676470588235294,False,0.5789473684210527,0.5333333333333333,,,False,267,248,19
pad,0,0.05,temp,0.038135593220338986,0.04032258064516129,0.04411764705882353,False,0.631578947368421,0.6,,,False,267,248,19
pad,0,0.06,mondrian,0.0,0.0,0.0,False,0.05263157894736842,0.06666666666666667,4.2209737827715355,0.9737827715355806,False,267,248,19
pad,0,0.06,marginal,0.0,0.0,0.0,False,0.05263157894736842,0.06666666666666667,4.037453183520599,0.9700374531835206,False,267,248,19
pad,0,0.06,softmax,0.0423728813559322,0.04435483870967742,0.047619047619047616,False,0.6842105263157895,0.6333333333333333,,,False,267,248,19
pad,0,0.06,temp,0.0423728813559322,0.04435483870967742,0.047619047619047616,False,0.6842105263157895,0.6333333333333333,,,False,267,248,19
