cohort,draw,variant,alpha,group,tau,T,miss,n_mal,release,n_ben
pad,4,softmax,0.1,4,0.0,1.0,0.14285714285714285,7.0,,
pad,4,softmax,0.1,5,0.0,1.0,0.0,4.0,,
pad,4,softmax,0.1,0,0.0,1.0,,,0.6190476190476191,21.0
pad,4,softmax,0.15,1,0.0,1.0,0.0,21.0,,
pad,4,softmax,0.15,2,0.0,1.0,0.05263157894736842,152.0,,
pad,4,softmax,0.15,3,0.0,1.0,0.06451612903225806,62.0,,
pad,4,softmax,0.15,4,0.0,1.0,0.14285714285714285,7.0,,
pad,4,softmax,0.15,5,0.0,1.0,0.0,4.0,,
pad,4,softmax,0.15,0,0.0,1.0,,,0.6190476190476191,21.0
pad,4,temp,0.05,1,0.3647258351933179,3.84558498691316,0.0,21.0,,
pad,4,temp,0.05,2,0.3647258351933179,3.84558498691316,0.046052631578947366,152.0,,
pad,4,temp,0.05,3,0.3647258351933179,3.84558498691316,0.06451612903225806,62.0,,
pad,4,temp,0.05,4,0.3647258351933179,3.84558498691316,0.14285714285714285,7.0,,
pad,4,temp,0.05,5,0.3647258351933179,3.84558498691316,0.0,4.0,,
pad,4,temp,0.05,0,0.3647258351933179,3.84558498691316,,,0.5238095238095238,21.0
pad,4,temp,0.1,1,0.0,3.84558498691316,0.0,21.0,,
pad,4,temp,0.1,2,0.0,3.84558498691316,0.05263157894736842,152.0,,
pad,4,temp,0.1,3,0.0,3.84558498691316,0.06451612903225806,62.0,,
pad,4,temp,0.1,4,0.0,3.84558498691316,0.14285714285714285,7.0,,
pad,4,temp,0.1,5,0.0,3.84558498691316,0.0,4.0,,
pad,4,temp,0.1,0,0.0,3.84558498691316,,,0.6190476190476191,21.0
pad,4,temp,0.15,1,0.0,3.84558498691316,0.0,21.0,,
pad,4,temp,0.15,2,0.0,3.84558498691316,0.05263157894736842,152.0,,
pad,4,temp,0.15,3,0.0,3.84558498691316,0.06451612903225806,62.0,,
pad,4,temp,0.15,4,0.0,3.84558498691316,0.14285714285714285,7.0,,
pad,4,temp,0.15,5,0.0,3.84558498691316,0.0,4.0,,
pad,4,temp,0.15,0,0.0,3.84558498691316,,,0.6190476190476191,21.0
hiba,5,softmax,0.05,1,0.9648869570121432,1.0,0.045454545454545456,22.0,,
hiba,5,softmax,0.05,2,0.9648869570121432,1.0,0.0975609756097561,123.0,,
hiba,5,softmax,0.05,3,0.9648869570121432,1.0,0.0,11.0,,
hiba,5,softmax,0.05,0,0.9648869570121432,1.0,,,0.3592814371257485,167.0
hiba,5,softmax,0.1,1,0.8543339950601975,1.0,0.09090909090909091,22.0,,
hiba,5,softmax,0.1,2,0.8543339950601975,1.0,0.15447154471544716,123.0,,
hiba,5,softmax,0.1,3,0.8543339950601975,1.0,0.0,11.0,,
hiba,5,softmax,0.1,0,0.8543339950601975,1.0,,,0.6047904191616766,167.0
hiba,5,softmax,0.15,1,0.696447263735766,1.0,0.18181818181818182,22.0,,
hiba,5,softmax,0.15,2,0.696447263735766,1.0,0.2032520325203252,123.0,,
hiba,5,softmax,0.15,3,0.696447263735766,1.0,0.0,11.0,,
hiba,5,softmax,0.15,0,0.696447263735766,1.0,,,0.7904191616766467,167.0
hiba,5,temp,0.05,1,0.46735837046494744,4.800472880032823,0.045454545454545456,22.0,,
hiba,5,temp,0.05,2,0.46735837046494744,4.800472880032823,0.07317073170731707,123.0,,
hiba,5,temp,0.05,3,0.46735837046494744,4.800472880032823,0.0,11.0,,
hiba,5,temp,0.05,0,0.46735837046494744,4.800472880032823,,,0.4251497005988024,167.0
hiba,5,temp,0.1,1,0.3675829873227362,4.800472880032823,0.09090909090909091,22.0,,
hiba,5,temp,0.1,2,0.3675829873227362,4.800472880032823,0.15447154471544716,123.0,,
hiba,5,temp,0.1,3,0.3675829873227362,4.800472880032823,0.0,11.0,,
hiba,5,temp,0.1,0,0.3675829873227362,4.800472880032823,,,0.7425149700598802,167.0
hiba,5,temp,0.15,1,0.3222437668969222,4.800472880032823,0.18181818181818182,22.0,,
hiba,5,temp,0.15,2,0.3222437668969222,4.800472880032823,0.21138211382113822,123.0,,
hiba,5,temp,0.15,3,0.3222437668969222,4.800472880032823,0.09090909090909091,11.0,,
hiba,5,temp,0.15,0,0.3222437668969222,4.800472880032823,,,0.8682634730538922,167.0
pad,5,softmax,0.05,1,0.6882093147471148,1.0,0.024390243902439025,41.0,,
pad,5,softmax,0.05,2,0.6882093147471148,1.0,0.04666666666666667,150.0,,
pad,5,softmax,0.05,3,0.6882093147471148,1.0,0.03508771929824561,57.0,,
pad,5,softmax,0.05,4,0.6882093147471148,1.0,0.0,12.0,,
pad,5,softmax,0.05,5,0.6882093147471148,1.0,0.0,1.0,,
pad,5,softmax,0.05,0,0.6882093147471148,1.0,,,0.5714285714285714,14.0
pad,5,softmax,0.1,1,0.0,1.0,0.024390243902439025,41.0,,
pad,5,softmax,0.1,2,0.0,1.0,0.05333333333333334,150.0,,
pad,5,softmax,0.1,3,0.0,1.0,0.05263157894736842,57.0,,
pad,5,softmax,0.1,4,0.0,1.0,0.0,12.0,,
